date,pre,hum,tem,occ
15/05/2020 00:26,94347.95,60.32,30.48,M
25/05/2020 23:30,94173.3,50.89,32.7,M
24/05/2020 12:07,94257.34,53.65,31.68,M
29/05/2020 00:43,95161.37,47.38,31.58,M
04/06/2020 18:44,94399.06,48.92,31.47,M
14/05/2020 23:45,94372.6,57.76,30.94,H
04/06/2020 11:29,94687.96,60.45,30.65,M
15/05/2020 00:39,94339.96,60.6,30.38,M
25/05/2020 16:53,93881.13,49.93,32.14,M
14/05/2020 23:05,94337.28,56.4,30.96,M
24/05/2020 12:07,94258.19,53.65,31.68,M
29/05/2020 00:11,95110.55,42.45,31.95,M
29/05/2020 00:17,95122.34,44.75,31.83,M
25/05/2020 19:18,93739.92,47.97,32.51,M
04/06/2020 11:29,94688.76,60.39,30.61,M
04/06/2020 18:21,94388.61,54.46,31.45,M
04/06/2020 18:34,94391.52,50.25,31.46,M
04/06/2020 18:39,94389.94,50.4,31.47,M
26/05/2020 00:26,94322.19,55.02,31.59,M
04/06/2020 11:30,94688.17,60.45,30.65,M
15/05/2020 00:18,94356.4,59.5,30.95,M
15/05/2020 00:20,94355.2,59.24,30.82,M
15/05/2020 00:00,94374.18,58.74,30.99,H
15/05/2020 00:27,94349.52,60.27,30.48,M
04/06/2020 18:37,94392.06,50.32,31.48,M
25/05/2020 23:41,94213.23,51.58,32.41,H
14/05/2020 23:33,94360.3,59.3,31.01,H
29/05/2020 00:26,95149.33,46.2,31.83,M
14/05/2020 23:40,94372.9,58.37,31.04,H
14/05/2020 23:29,94353.22,59.26,31,H
04/06/2020 18:55,94402.94,49.59,31.44,M
04/06/2020 11:33,94689.71,60.37,30.65,M
04/06/2020 19:14,94395.84,51.05,31.44,M
25/05/2020 16:59,93884.54,49.43,32.22,M
14/05/2020 23:47,94374.22,57.94,30.92,H
04/06/2020 18:56,94401.34,49.14,31.45,M
31/05/2020 19:11,94838.62,48.49,30.85,H
15/05/2020 00:22,94353.11,59.67,30.66,M
04/06/2020 19:44,94425.17,53.88,31.57,M
25/05/2020 23:51,94265.94,50.99,31.59,H
25/05/2020 16:46,93890.57,49.53,32.15,M
26/05/2020 00:24,94343.48,55.4,31.5,M
24/05/2020 12:33,94259.34,52.9,31.43,M
04/06/2020 23:08,94596.89,56.77,31.95,M
26/05/2020 00:15,94350.23,55.08,31.15,M
29/05/2020 00:51,95251,45.96,31.53,M
15/05/2020 00:18,94354.96,59.94,30.9,M
24/05/2020 12:16,94252.28,53.53,31.53,M
04/06/2020 19:31,94409.59,53.02,31.51,M
29/05/2020 00:22,95127.69,45.34,31.91,M
26/05/2020 00:18,94342.07,55.5,31.32,M
04/06/2020 11:35,94688.76,60.36,30.65,M
01/06/2020 12:08,95211,58.47,29.69,M
15/05/2020 00:16,94354.39,59.66,30.73,M
04/06/2020 18:41,94396.22,49.66,31.47,M
15/05/2020 00:25,94350.86,60.18,30.48,M
01/06/2020 12:07,95208.13,58.03,29.61,M
31/05/2020 19:06,94831.51,48.45,30.76,H
04/06/2020 11:36,94689.39,60.2,30.68,M
15/05/2020 00:25,94350.57,60.05,30.5,M
04/06/2020 18:07,94391.15,55.23,31.6,M
01/06/2020 11:56,95213.19,58.95,29.28,M
31/05/2020 19:42,94942.11,54.89,29.91,M
29/05/2020 00:23,95137.12,45.62,31.84,M
25/05/2020 15:50,93946.9,53.31,32.03,M
26/05/2020 00:12,94340.4,54.11,31.35,M
15/05/2020 00:54,94330.45,61.35,30.44,M
01/06/2020 12:27,95199.48,58.44,29.48,M
25/05/2020 23:38,94198.24,51.31,32.44,M
24/05/2020 12:25,94259.1,53.06,31.43,M
25/05/2020 15:54,93944.64,53.02,32.18,M
25/05/2020 17:06,93877.31,48.41,32.26,M
31/05/2020 19:25,94870.28,47.58,30.79,H
01/06/2020 11:59,95212.97,58.79,29.44,M
04/06/2020 18:38,94391.66,50.43,31.47,M
04/06/2020 20:51,94486.55,48.89,31.39,M
25/05/2020 23:42,94215.47,51.9,32.43,H
01/06/2020 12:18,95206.95,59.09,29.23,M
26/05/2020 00:05,94318.33,52.95,31.44,M
25/05/2020 19:11,93754.95,49.19,32.48,M
15/05/2020 00:06,94364.09,59.08,30.88,H
04/06/2020 18:32,94393.17,50.49,31.49,M
24/05/2020 12:01,94259.09,53.86,31.67,M
14/05/2020 23:03,94332.64,56.48,30.93,M
25/05/2020 18:54,93779.48,48.37,32.41,M
25/05/2020 23:34,94181.65,51.4,32.51,M
31/05/2020 19:45,94959.55,55.27,29.82,M
15/05/2020 00:48,94337.4,60.78,30.3,M
25/05/2020 16:40,93903.97,50.38,32.1,M
25/05/2020 15:49,93948.34,53.3,32.03,M
04/06/2020 19:35,94413.94,53.01,31.52,M
25/05/2020 16:44,93896.33,50.02,32.17,M
25/05/2020 18:54,93780.32,48.27,32.42,M
25/05/2020 19:15,93742.84,48.92,32.49,M
15/05/2020 00:36,94342.38,60.8,30.37,M
25/05/2020 19:07,93761.66,48.62,32.43,M
24/05/2020 11:46,94257.64,53.79,31.52,H
04/06/2020 20:06,94450.11,53.75,31.6,M
04/06/2020 11:27,94689.18,60.18,30.66,M
31/05/2020 19:31,94896.81,49.69,30.71,M
15/05/2020 00:38,94339.3,60.63,30.41,M
25/05/2020 23:50,94254.9,50.71,31.73,H
25/05/2020 19:04,93776.77,48.33,32.45,M
15/05/2020 00:58,94329.94,61,30.55,M
04/06/2020 19:09,94401.77,49.43,31.43,M
15/05/2020 00:32,94342.62,60.66,30.36,M
14/05/2020 23:49,94375.13,58.02,30.9,H
28/05/2020 23:33,94957.82,42.38,31.69,M
25/05/2020 23:22,94134.73,50.69,32.5,M
14/05/2020 23:03,94332.5,56.44,30.93,M
25/05/2020 16:34,93905.36,50,32.14,M
01/06/2020 12:21,95202.03,59.06,29.32,M
14/05/2020 23:30,94356.66,59.32,30.99,H
25/05/2020 18:59,93781.07,48.34,32.44,M
14/05/2020 23:25,94358.02,59.05,31.02,H
24/05/2020 11:55,94254.69,53.86,31.63,H
04/06/2020 19:59,94438.82,53.71,31.59,M
31/05/2020 19:26,94884.84,47.78,30.69,H
25/05/2020 19:10,93757.5,49.39,32.49,M
04/06/2020 19:25,94407.61,52.52,31.48,M
04/06/2020 19:20,94399.57,52,31.4,M
04/06/2020 20:49,94483.28,49.34,31.47,M
25/05/2020 16:39,93900.97,50.06,32.12,M
24/05/2020 12:24,94259.8,52.89,31.42,M
04/06/2020 20:06,94448.44,53.61,31.57,M
01/06/2020 12:05,95210.87,58.17,29.59,M
24/05/2020 12:15,94250.83,53.47,31.54,M
01/06/2020 11:58,95213.33,58.65,29.38,M
25/05/2020 23:47,94229.82,51.09,32.22,H
14/05/2020 23:51,94374.21,58.15,30.91,H
15/05/2020 01:00,94328.53,60.97,30.56,M
25/05/2020 16:35,93902.55,49.63,32.13,M
25/05/2020 19:02,93778.22,48.32,32.45,M
31/05/2020 19:22,94847.69,47.77,30.84,H
25/05/2020 23:39,94202.07,50.89,32.38,H
15/05/2020 00:59,94328.94,60.99,30.57,M
14/05/2020 23:31,94355.61,59.36,31.01,H
25/05/2020 15:54,93945.48,53.12,32.17,M
25/05/2020 15:53,93945.08,53.3,32.13,M
14/05/2020 23:26,94354.83,59.02,31.01,H
14/05/2020 23:47,94374.23,58,30.91,H
04/06/2020 23:04,94593.54,56.76,31.91,M
14/05/2020 23:35,94363.81,59.07,31.03,H
25/05/2020 20:34,93892.66,44.64,32.52,M
04/06/2020 18:13,94393.15,54.8,31.48,M
25/05/2020 15:51,93947.02,53.3,32.1,M
29/05/2020 01:01,95281.65,43.87,31.39,M
04/06/2020 18:49,94400.83,49.22,31.45,M
26/05/2020 00:19,94342.86,55.67,31.32,M
25/05/2020 16:10,93926.89,51.2,32.38,M
25/05/2020 23:37,94193.4,51.48,32.45,M
04/06/2020 19:05,94403.19,48.11,31.41,M
24/05/2020 12:27,94259.88,53.13,31.37,M
25/05/2020 23:43,94223.79,51.56,32.44,H
25/05/2020 16:23,93913.18,49.97,32.13,M
26/05/2020 00:03,94319.49,52.63,31.46,M
04/06/2020 19:00,94399.06,48.45,31.41,M
04/06/2020 18:35,94392.53,49.74,31.43,M
25/05/2020 15:53,93942.97,52.98,32.09,M
04/06/2020 19:24,94405.89,52.5,31.47,M
26/05/2020 00:05,94319.95,52.94,31.41,M
04/06/2020 18:19,94390.61,54.65,31.47,M
29/05/2020 00:47,95197.34,46.81,31.58,M
28/05/2020 23:30,94948.07,42.37,31.68,M
24/05/2020 12:10,94256.49,53.65,31.66,M
25/05/2020 16:15,93907.99,50.87,32.26,M
04/06/2020 19:25,94409.19,52.54,31.49,M
25/05/2020 16:15,93909.12,50.8,32.27,M
04/06/2020 23:02,94591.16,56.51,31.89,M
14/05/2020 23:19,94352.2,58.48,31.15,M
04/06/2020 11:31,94688.3,60.41,30.64,M
04/06/2020 11:25,94692.3,60.22,30.66,M
04/06/2020 18:53,94399.17,49.2,31.41,M
29/05/2020 00:44,95167.63,47.69,31.61,M
29/05/2020 00:48,95223.72,46.02,31.56,M
04/06/2020 11:24,94694.58,59.74,30.65,M
29/05/2020 00:27,95144.93,46.93,31.84,M
26/05/2020 00:00,94316.16,51.78,31.59,M
29/05/2020 00:19,95120.22,45.17,31.79,M
14/05/2020 23:36,94365.85,58.98,31.03,H
26/05/2020 00:21,94349.15,55.58,31.34,M
04/06/2020 19:11,94395.07,50.31,31.43,M
