CLAVE,PUB_YEAR,CITED_DOCS,CITES_3Y,AFFILIATIONS,AUTHORS,INTL_AFIL,Q1Q2,BOOK,CHAPTER,CONFERENCE,JOURNAL,DOCS,CITE_SCORE,BASE_YEAR,YEAR_N
445,2008,0,0,3,4,1,1,0,0,0,1,1,0,2007,2
445,2009,1,1,5,7,2,0,0,1,1,0,2,0.5,2007,3
445,2010,1,2,7,9,4,0,0,0,3,0,3,0.667,2007,4
445,2011,3,3,8,9,5,2,0,0,1,2,3,1,2007,5
447,2007,1,2,6,8,0,2,0,0,0,2,2,1,2007,1
447,2008,1,6,8,16,0,0,0,0,3,1,4,1.5,2007,2
447,2009,1,1,3,5,1,1,0,0,0,1,1,1,2007,3
447,2010,2,4,11,19,3,2,0,0,1,3,4,1,2007,4
447,2011,3,9,12,24,3,4,0,0,0,4,4,2.25,2007,5
449,2007,2,3,13,36,2,2,0,0,4,3,7,0.429,2007,1
449,2008,6,5,12,35,0,4,0,0,3,5,8,0.625,2007,2
449,2009,0,0,1,3,0,0,0,0,1,0,1,0,2007,3
449,2010,2,3,23,58,7,2,0,0,6,5,11,0.273,2007,4
449,2011,0,0,3,11,0,0,1,0,2,0,3,0,2007,5
451,2007,1,1,3,7,0,3,0,0,0,3,3,0.333,2007,1
451,2008,0,0,2,3,0,1,0,0,0,1,1,0,2007,2
451,2009,0,0,3,5,0,3,0,0,0,3,3,0,2007,3
451,2010,1,1,7,13,0,4,0,0,0,4,4,0.25,2007,4
451,2011,1,1,4,8,0,3,0,0,0,3,3,0.333,2007,5
455,2007,2,2,9,25,2,3,0,0,0,4,4,0.5,2007,1
455,2008,1,3,6,16,0,1,0,0,1,1,2,1.5,2007,2
455,2009,1,1,8,23,0,3,0,0,0,4,4,0.25,2007,3
455,2010,3,5,7,20,0,4,0,0,0,4,4,1.25,2007,4
455,2011,0,0,2,7,0,1,0,0,0,1,1,0,2007,5
457,2007,0,0,1,4,0,1,0,0,0,1,1,0,2007,1
457,2008,1,1,7,12,1,3,0,0,0,3,3,0.333,2007,2
457,2009,0,0,3,4,0,1,0,0,0,1,1,0,2007,3
457,2010,0,0,4,7,0,1,0,0,0,1,1,0,2007,4
457,2011,0,0,6,12,0,2,0,0,0,2,2,0,2007,5
460,2007,2,2,11,17,3,4,0,0,0,4,4,0.5,2007,1
460,2008,1,1,8,16,2,3,0,0,0,3,3,0.333,2007,2
460,2009,3,6,14,32,5,5,0,0,1,5,6,1,2007,3
460,2010,7,9,33,72,5,11,0,0,3,11,14,0.643,2007,4
460,2011,7,7,24,55,7,9,1,0,1,9,11,0.636,2007,5
461,2007,2,4,7,14,3,3,0,0,0,3,3,1.333,2007,1
461,2008,1,3,12,26,6,2,0,0,2,3,5,0.6,2007,2
461,2009,1,1,7,14,1,3,0,0,0,3,3,0.333,2007,3
461,2010,0,0,5,13,0,0,0,0,2,0,2,0,2007,4
461,2011,3,2,12,24,5,3,0,0,0,5,5,0.4,2007,5
464,2007,0,0,4,9,0,1,0,0,0,2,2,0,2007,1
464,2008,2,5,7,15,2,3,0,0,0,3,3,1.667,2007,2
464,2009,0,0,4,12,0,1,0,0,0,3,3,0,2007,3
464,2010,1,2,7,13,3,3,0,0,0,3,3,0.667,2007,4
464,2011,1,5,3,4,2,0,0,0,0,1,1,5,2007,5
465,2007,2,6,12,15,7,1,0,0,1,4,5,1.2,2007,1
465,2008,0,0,3,3,2,0,0,0,1,0,1,0,2007,2
465,2009,0,0,9,9,6,0,0,0,1,2,3,0,2007,3
465,2010,0,0,4,4,2,0,0,0,2,0,2,0,2007,4
465,2011,2,2,6,8,3,0,0,0,2,1,3,0.667,2007,5
470,2007,2,2,5,10,2,2,0,0,0,2,2,1,2007,1
470,2008,1,1,5,11,1,2,0,0,0,2,2,0.5,2007,2
470,2009,2,5,12,32,4,5,0,0,1,5,6,0.833,2007,3
470,2010,1,1,14,33,2,3,0,0,3,3,6,0.167,2007,4
470,2011,4,4,12,31,3,5,0,0,1,5,6,0.667,2007,5
477,2007,5,6,17,42,4,3,0,0,4,3,7,0.857,2007,1
477,2008,1,6,13,30,7,2,0,0,0,3,3,2,2007,2
477,2009,7,24,23,54,6,7,0,0,2,7,9,2.667,2007,3
477,2010,6,16,29,61,4,7,0,0,3,9,12,1.333,2007,4
477,2011,11,21,47,111,13,7,0,0,0,15,15,1.4,2007,5
481,2007,1,1,1,4,0,0,0,0,0,1,1,1,2007,1
481,2008,0,0,3,3,2,0,0,0,0,1,1,0,2007,2
481,2009,0,0,6,15,2,0,0,2,2,0,4,0,2007,3
481,2010,0,0,3,8,1,1,0,0,1,1,2,0,2007,4
481,2011,0,0,4,8,1,0,0,0,0,2,2,0,2007,5
482,2007,0,0,2,2,0,0,0,0,0,1,1,0,2007,1
482,2008,2,2,2,6,0,0,0,0,2,0,2,1,2007,2
482,2009,0,0,3,10,0,0,0,1,2,0,3,0,2007,3
482,2010,0,0,2,4,0,0,0,1,0,0,1,0,2007,4
482,2011,0,0,3,7,0,1,0,0,1,1,2,0,2007,5
484,2007,0,0,2,4,1,0,0,0,1,0,1,0,2007,1
484,2008,2,3,5,10,0,2,0,0,0,2,2,1.5,2007,2
484,2009,2,2,3,10,0,2,0,0,0,2,2,1,2007,3
484,2010,0,0,1,5,0,0,0,0,0,1,1,0,2007,4
484,2011,0,0,4,13,0,2,0,0,0,2,2,0,2007,5
488,2007,0,0,4,11,0,0,0,0,3,0,3,0,2007,1
488,2008,1,2,2,6,0,0,0,0,0,1,1,2,2007,2
488,2009,0,0,2,3,0,0,0,0,1,0,1,0,2007,3
488,2010,1,2,15,30,1,0,0,0,4,1,5,0.4,2007,4
488,2011,3,3,24,52,3,0,0,0,6,2,8,0.375,2007,5
490,2007,1,3,12,55,0,1,0,0,11,1,12,0.25,2007,1
490,2008,1,9,8,33,0,1,0,0,7,1,8,1.125,2007,2
490,2009,0,0,6,21,0,1,0,0,4,1,5,0,2007,3
490,2010,1,4,15,44,0,2,0,0,7,2,9,0.444,2007,4
490,2011,0,0,12,47,0,2,0,0,6,4,10,0,2007,5
493,2007,0,0,2,4,1,0,0,0,1,0,1,0,2007,1
493,2008,0,0,11,19,2,3,0,0,2,3,5,0,2007,2
493,2009,1,5,10,21,2,1,0,0,4,1,5,1,2007,3
